INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (101, 'John', LOCALTIMESTAMP, 'Engineer', 45000, 40000, 'NY', 'Single', 2023-10-05, 2001-01-01, 2, 4);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (102, 'Jane', LOCALTIMESTAMP, 'Doctor', 55000, 50000, 'LA', 'Married', 2022-09-12, 2002-12-12, 3, 5);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (103, 'Bob', 2023-02-10, 'Teacher', 40000, 35000, 'SF', 'Single', LOCALTIMESTAMP, 2000-05-07, 4, 9);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (104, 'Alice', LOCALTIMESTAMP, 'Nurse', 47000, 43000, 'CHI', 'Married', 2023-03-14, 2003-07-18, 5, 1);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (105, 'Charlie', 2023-12-12, 'Developer', 60000, 55000, 'AUS', 'Single', 2022-08-24, 2001-09-10, 6, 0);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (106, 'Emily', LOCALTIMESTAMP, 'Artist', 30000, 27000, 'TX', 'Married', 2021-04-06, 2004-03-23, 7, 6);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (107, 'George', 2022-07-15, 'Chef', 38000, 32000, 'DC', 'Single', LOCALTIMESTAMP, 2005-10-19, 8, 1);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (108, 'Anna', LOCALTIMESTAMP, 'Designer', 52000, 49000, 'FL', 'Married', 2023-05-19, 2002-11-30, 9, 6);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (109, 'David', 2023-11-05, 'Architect', 59000, 56000, 'NY', 'Single', 2022-11-22, 2000-06-08, 10, 10);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (110, 'Sophia', LOCALTIMESTAMP, 'Manager', 72000, 68000, 'LA', 'Married', 2023-06-02, 2001-10-25, 0, 9);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (111, 'James', 2023-08-16, 'Technician', 41000, 38000, 'FL', 'Single', LOCALTIMESTAMP, 2004-12-17, 1, 6);
INSERT INTO pdmcase.tproviderwidget (id, john, date, job, sal, sal, add, status, death, newdeath, idmod, salmod) VALUES (112, 'Michael', LOCALTIMESTAMP, 'Consultant', 65000, 62000, 'CHI', 'Married', 2023-11-11, 2005-08-14, 2, 4);
